date,portfolio_return
2021-01-05,0.010030372138499303
2021-01-06,-0.005152895412467779
2021-01-07,0.03077056151753369
2021-01-08,0.010802099709028328
2021-01-11,-0.013770821786451157
2021-01-12,0.001957621238730463
2021-01-13,0.005970819040654731
2021-01-14,-0.008098542964661795
2021-01-15,-0.011237312222817835
2021-01-19,0.015143555362077354
2021-01-20,0.02170392831879967
2021-01-21,0.007889105321564727
2021-01-22,-0.0026248329484025363
2021-01-25,0.0069353998905055505
2021-01-26,-0.0008279062485804292
2021-01-27,-0.02483024664042128
2021-01-28,0.0008387520566887283
2021-01-29,-0.02247701701349998
2021-02-01,0.02261554282792871
2021-02-02,0.017202905076981304
2021-02-03,0.006173013299581789
2021-02-04,0.004414864486633328
2021-02-05,0.004058815472803171
2021-02-08,0.011466977952985874
2021-02-09,-0.002847906052551901
2021-02-10,0.0002324748120784844
2021-02-11,0.00048313798548127245
2021-02-12,0.0011366025635889453
2021-02-16,0.0038025446351921503
2021-02-17,6.86239584012135e-05
2021-02-18,-0.005240519526439765
2021-02-19,-0.0061491187944083025
2021-02-22,-0.017377240096194752
2021-02-23,0.0012017847927424043
2021-02-24,0.013601131295530117
2021-02-25,-0.0363642087780259
2021-02-26,0.0021182844762166557
2021-03-01,0.02671140405534226
2021-03-02,-0.016244201936748488
2021-03-03,-0.019517288967533446
2021-03-04,-0.006795402595029312
2021-03-05,0.014290460698792981
2021-03-08,-0.02668555045384993
2021-03-09,0.03142445420398972
2021-03-10,0.0010609052913148264
2021-03-11,0.0203661829326252
2021-03-12,-0.005061458493532065
2021-03-15,0.004869245438803007
2021-03-16,-0.0006279278301513096
2021-03-17,0.0068491834869246135
2021-03-18,-0.02647089852084294
2021-03-19,0.005274546573909122
2021-03-22,0.009226467970635359
2021-03-23,-0.0034988165757813237
2021-03-24,-0.01284705092583915
2021-03-25,-0.0016070448182739891
2021-03-26,0.008343473761562312
2021-03-29,0.0023666892064397593
2021-03-30,-0.002518336321540487
2021-03-31,0.01301836539497649
2021-04-01,0.015041743056651905
2021-04-05,0.020006212562386223
2021-04-06,-0.005024445621488901
2021-04-07,0.008731121742111969
2021-04-08,0.00631007260907498
2021-04-09,0.00910137654003868
2021-04-12,0.005660785517906168
2021-04-13,0.013872259437693608
2021-04-14,-0.013106988191596329
2021-04-15,0.018470515456982122
2021-04-16,-0.0006637333279050921
2021-04-19,-0.010087200380102333
2021-04-20,-0.006231482892668023
2021-04-21,0.008955117847924922
2021-04-22,-0.017604389116238774
2021-04-23,0.015386138333537101
2021-04-26,0.005444288556183287
2021-04-27,-0.004333492525290628
2021-04-28,0.0032790304672829763
2021-04-29,0.010270271327392593
2021-04-30,-0.0066808894328682245
2021-05-03,-0.0033695843620424213
2021-05-04,-0.011995374658014812
2021-05-05,0.0025913671830163896
2021-05-06,0.009093469503222611
2021-05-07,0.007197916499698126
2021-05-10,-0.024055970348167276
2021-05-11,-0.009587148113735476
2021-05-12,-0.022328442069856277
2021-05-13,0.004211253527930985
2021-05-14,0.023145948600130837
2021-05-17,-0.0006955604766306485
2021-05-18,-0.010829463945376783
2021-05-19,-0.003912635440861296
2021-05-20,0.014325975786075305
2021-05-21,-0.0011625221101717333
2021-05-24,0.020280128907684783
2021-05-25,-0.0011848773644337926
2021-05-26,0.004632189351914906
2021-05-27,-0.0011065145792419097
2021-05-28,0.0012226880621431606
2021-06-01,0.003084142184487832
2021-06-02,0.0012572477193032595
2021-06-03,-0.0086252999201984
2021-06-04,0.015814367293303776
2021-06-07,0.0019617850205495544
2021-06-08,0.0017423004106427997
2021-06-09,-0.0013337711105415194
2021-06-10,0.0054250420218594445
2021-06-11,0.0009177950729831213
2021-06-14,0.00751451393621242
2021-06-15,-0.004075950637123316
2021-06-16,-0.0006556002501685015
2021-06-17,0.007497772577088436
2021-06-18,-0.010894294072216697
2021-06-21,0.009792697002006273
2021-06-22,0.011098600446998992
2021-06-23,0.006529701625764415
2021-06-24,0.006212081964855046
2021-06-25,-0.0021202515932477227
2021-06-28,0.012090005311421795
2021-06-29,-0.0015544514435952344
2021-06-30,0.000645306901440523
2021-07-01,0.005623211717756317
2021-07-02,0.011104910898207976
2021-07-06,2.4962704122252213e-05
2021-07-07,-0.002266834256008948
2021-07-08,-0.007090647903265207
2021-07-09,0.009751818625807951
2021-07-12,0.010102103543307442
2021-07-13,-0.004229445437588594
2021-07-14,-0.005359362872021599
2021-07-15,-0.008663336121359097
2021-07-16,-0.01462686913134871
2021-07-19,-0.013598875960164947
2021-07-20,0.011929599687650557
2021-07-21,0.012005365967254978
2021-07-22,0.004084472510384977
2021-07-23,0.01065782523402964
2021-07-26,0.005722685304209121
2021-07-27,-0.010531774298908688
2021-07-28,0.0046388711615638605
2021-07-29,0.0035613727996680975
2021-07-30,-0.00997877159375727
2021-08-02,0.0036389391770253413
2021-08-03,0.007522789617152418
2021-08-04,-0.0001225682299559138
2021-08-05,0.005399425500514143
2021-08-06,-0.00027093719521300945
2021-08-09,-0.0007379130442497033
2021-08-10,-0.0010150080635578426
2021-08-11,-0.002229341805067982
2021-08-12,0.007591634754130891
2021-08-13,0.0009037980715748821
2021-08-16,-0.0024704334830808437
2021-08-17,-0.01264616744630132
2021-08-18,-0.0090339218616775
2021-08-19,0.002132211810515948
2021-08-20,0.01313424477751877
2021-08-23,0.019522831682384265
2021-08-24,0.0024750863030379377
2021-08-25,0.003755469325145969
2021-08-26,-0.006176853463562513
2021-08-27,0.01321131475126899
2021-08-30,0.008981356414700471
2021-08-31,-0.0028759076284903
2021-09-01,0.00048332578156366995
2021-09-02,0.0008860093152534944
2021-09-03,0.00237321386489016
2021-09-07,0.004712324532625164
2021-09-08,-0.00624129687361338
2021-09-09,-0.003124409052828845
2021-09-10,-0.010764016906067876
2021-09-13,0.007086392151562188
2021-09-14,-0.003146671358258474
2021-09-15,0.010802217877564807
2021-09-16,-0.002038962634952119
2021-09-17,-0.01047288815691825
2021-09-20,-0.02628823825636562
2021-09-21,0.002589638809100944
2021-09-22,0.009651092019669488
2021-09-23,0.012668673969536507
2021-09-24,0.005697677427687178
2021-09-27,0.001096001218941144
2021-09-28,-0.02373403071793947
2021-09-29,-0.0011309488597576567
2021-09-30,-0.00811493132409068
2021-10-01,0.012580840002229688
2021-10-04,-0.019015177544609383
2021-10-05,0.01471234097082893
2021-10-06,0.004777450795993484
2021-10-07,0.009294650921129737
2021-10-08,0.0012450937535383932
2021-10-11,-0.0074157448827214985
2021-10-12,-0.0037668520695160836
2021-10-13,0.002013336994611381
2021-10-14,0.020193977491812693
2021-10-15,0.011657713863861326
2021-10-18,0.011381569982046588
2021-10-19,0.0056975608419026665
2021-10-20,0.0021369265285845766
2021-10-21,0.007071697802216078
2021-10-22,-0.0068078501119157525
2021-10-25,0.013145032703796126
2021-10-26,0.009656578708851752
2021-10-27,0.0038002101281153946
2021-10-28,0.013553750986327221
2021-10-29,0.00870515637887016
2021-11-01,0.005474835394028605
2021-11-02,0.00026377683328753627
2021-11-03,0.00930421980092285
2021-11-04,0.014020239279888902
2021-11-05,0.003187600817866268
2021-11-08,-8.853813371428811e-05
2021-11-09,-0.008055133637523065
2021-11-10,-0.013315677169064483
2021-11-11,0.0024548454273318086
2021-11-12,0.006387980754263223
2021-11-15,-0.002108096400719469
2021-11-16,0.004430191142993572
2021-11-17,-0.0003444363998351091
2021-11-18,0.014842165799446161
2021-11-19,0.002678356636986272
2021-11-22,-0.005084489961208865
2021-11-23,0.0005996183834129209
2021-11-24,0.005709773842734845
2021-11-26,-0.028602392284681664
2021-11-29,0.023225568548410444
2021-11-30,-0.014426056641285143
2021-12-01,-0.016215912839063186
2021-12-02,0.0064418073925292234
2021-12-03,-0.01898837913498331
2021-12-06,0.010475257616520678
2021-12-07,0.028672007976016548
2021-12-08,0.00503212518669649
2021-12-09,-0.012117107110208612
2021-12-10,0.006266876639254029
2021-12-13,-0.020129206519941188
2021-12-14,-0.005254094700896523
2021-12-15,0.022175176805433426
2021-12-16,-0.023727292390495234
2021-12-17,-0.009706891097097848
2021-12-20,-0.014211745797268586
2021-12-21,0.02342972531944625
2021-12-22,0.015520581058129113
2021-12-23,0.00968295899697446
2021-12-27,0.017241974864297998
2021-12-28,-0.0030324992329556636
2021-12-29,-0.003257897936191442
2021-12-30,-0.005390242129695851
2021-12-31,-0.007421339442107692
2022-01-03,0.02258560956722731
2022-01-04,-0.007666915546294152
2022-01-05,-0.029235704119109442
2022-01-06,-0.0015595094476890418
2022-01-07,-0.0085609305681918
2022-01-10,0.003930595977791531
2022-01-11,0.014030550430862975
2022-01-12,0.007852922593616888
2022-01-13,-0.027104357300854538
2022-01-14,0.005956450854513744
2022-01-18,-0.023176681378350546
2022-01-19,-0.011669230806003295
2022-01-20,-0.01111910993034018
2022-01-21,-0.027790943893539297
2022-01-24,0.002620412773542138
2022-01-25,-0.015901216931195453
2022-01-26,0.006200361982185121
2022-01-27,-0.011917190329792588
2022-01-28,0.023862069386327817
2022-01-31,0.032449522729456934
2022-02-01,0.008684740608462653
2022-02-02,0.00927693862034862
2022-02-03,-0.028486600948558552
2022-02-04,0.015342966295935742
2022-02-07,-0.008490529792456231
2022-02-08,0.007577277579981318
2022-02-09,0.01776446947598553
2022-02-10,-0.020499729412920848
2022-02-11,-0.028335898418607786
2022-02-14,0.0012921676351829673
2022-02-15,0.021391857706693322
2022-02-16,0.0007252534516150041
2022-02-17,-0.03275513195477592
2022-02-18,-0.012634999860390525
2022-02-22,-0.013693542263412243
2022-02-23,-0.02640289514307501
2022-02-24,0.024298394637612613
2022-02-25,0.018597867352259517
2022-02-28,0.00587702356885722
2022-03-01,-0.015738064141558195
2022-03-02,0.017591552616365705
2022-03-03,-0.014070859713820239
2022-03-04,-0.00857445155156801
2022-03-07,-0.036822404307396014
2022-03-08,-0.0008194704215700945
2022-03-09,0.03171236877852072
2022-03-10,-0.0018425626579191316
2022-03-11,-0.023190189358933692
2022-03-14,-0.019015161628545694
2022-03-15,0.02708568796116395
2022-03-16,0.032854358097832916
2022-03-17,0.016445272963701345
2022-03-18,0.02189710690550595
2022-03-21,0.005027168902948115
2022-03-22,0.01892902703920227
2022-03-23,-0.007985359405223057
2022-03-24,0.02144621232263649
2022-03-25,0.0029914213343942464
2022-03-28,0.012014391911277813
2022-03-29,0.008543842803297319
2022-03-30,-0.004971577190464246
2022-03-31,-0.01963038867897368
2022-04-01,0.0013502318455373848
2022-04-04,0.020782870251933885
2022-04-05,-0.018754602868315054
2022-04-06,-0.02348678464911534
2022-04-07,0.002151124168825273
2022-04-08,-0.009101854523042746
2022-04-11,-0.030612133853986406
2022-04-12,-0.002660304330340923
2022-04-13,0.014231703555823075
2022-04-14,-0.021258430118297558
2022-04-18,0.008741368513217539
2022-04-19,0.0174509644680035
2022-04-20,-0.01683264319135321
2022-04-21,-0.021607187130405138
2022-04-22,-0.026304570023338043
2022-04-25,0.007094523688319784
2022-04-26,-0.03951711688371802
2022-04-27,-0.003937453195548222
2022-04-28,0.03443442907674464
2022-04-29,-0.03594910530863794
2022-05-02,0.019774495360483226
2022-05-03,0.005778519697908323
2022-05-04,0.03463983321827722
2022-05-05,-0.04882802214237288
2022-05-06,-0.004172229763208862
2022-05-09,-0.04506282580087053
2022-05-10,0.009780827597674754
2022-05-11,-0.029526054654213315
2022-05-12,-0.007378082094895768
2022-05-13,0.03607893297031601
2022-05-16,-0.009787870307650303
2022-05-17,0.026962687114430454
2022-05-18,-0.04545755444185268
2022-05-19,-0.002939527378562638
2022-05-20,-0.007700421824019171
2022-05-23,0.02104383970371531
2022-05-24,-0.025743960315602565
2022-05-25,0.0175160614511306
2022-05-26,0.02863020845211033
2022-05-27,0.03190091615145725
2022-05-31,-0.00011759219839784733
2022-06-01,-0.006185451784532812
2022-06-02,0.02669983516963789
2022-06-03,-0.030359161516386443
2022-06-06,0.008094812303283402
2022-06-07,0.009383970287487263
2022-06-08,-0.003594163142416015
2022-06-09,-0.027988483999711503
2022-06-10,-0.03830303718957847
2022-06-13,-0.050586008113808166
2022-06-14,0.0006776124077283278
2022-06-15,0.02629474356550942
2022-06-16,-0.04078774467972324
2022-06-17,0.00513107625226523
2022-06-21,0.032079733205092595
2022-06-22,-0.005517035123279966
2022-06-23,0.006668937360100505
2022-06-24,0.03466766577369493
2022-06-27,-0.004317274837812248
2022-06-28,-0.027957480775238613
2022-06-29,-0.0014985492030135804
2022-06-30,-0.01969033804874917
2022-07-01,0.005964273138410825
2022-07-05,0.015285006568164033
2022-07-06,0.005067369840366516
2022-07-07,0.025495087050987825
2022-07-08,0.0022851437639890997
2022-07-11,-0.027287317961384536
2022-07-12,-0.009737414324987172
2022-07-13,-0.002692282794840317
2022-07-14,-0.00494629351604625
2022-07-15,0.023626459032329516
2022-07-18,-0.002687208417381336
2022-07-19,0.03285498486978566
2022-07-20,0.01423449776750111
2022-07-21,0.014661714452984346
2022-07-22,-0.021213795338021563
2022-07-25,-0.0022224559687626213
2022-07-26,-0.024038225474215316
2022-07-27,0.0419009713350021
2022-07-28,0.0052418800484189095
2022-07-29,0.02234240876858304
2022-08-01,-0.0053036909630568355
2022-08-02,-0.0030260969564957878
2022-08-03,0.021096479889185164
2022-08-04,-0.0010754000359380772
2022-08-05,-0.007692428898054693
2022-08-08,-0.006586807746343094
2022-08-09,-0.005673395474886233
2022-08-10,0.029879382580167563
2022-08-11,-0.003941950238229009
2022-08-12,0.02317782031257103
2022-08-15,0.004850543466576268
2022-08-16,-0.0017563568706446008
2022-08-17,-0.009656950827344123
2022-08-18,0.0035130285585839565
2022-08-19,-0.021597906755316552
2022-08-22,-0.02393757380684202
2022-08-23,0.0026097831242950465
2022-08-24,0.002665155118322432
2022-08-25,0.0184466136122302
2022-08-26,-0.038974707452130275
2022-08-29,-0.007530097118234636
2022-08-30,-0.014769191517577638
2022-08-31,-0.00545619072918759
2022-09-01,-0.0035785075071560982
2022-09-02,-0.013124919154300453
2022-09-06,-0.005302577145326879
2022-09-07,0.01603529640419663
2022-09-08,0.007677935024931784
2022-09-09,0.021304262253428255
2022-09-12,0.013053817611800873
2022-09-13,-0.04688198098022388
2022-09-14,0.006832800866811637
2022-09-15,-0.009789881997399979
2022-09-16,-0.006706107646478693
2022-09-19,0.009380423318734853
2022-09-20,-0.009114888302217562
2022-09-21,-0.019727509575444398
2022-09-22,-0.009567668956477158
2022-09-23,-0.021242884500980365
2022-09-26,-0.009644696787824203
2022-09-27,0.002604135549937423
2022-09-28,0.02252521829333592
2022-09-29,-0.029129887993617116
2022-09-30,-0.014611688749166461
2022-10-03,0.017225243630114767
2022-10-04,0.03139175454330116
2022-10-05,-0.0006605405105843034
2022-10-06,-0.004493778920302157
2022-10-07,-0.039771934668026074
2022-10-10,-0.011070746099576187
2022-10-11,-0.01596745759028695
2022-10-12,0.0015494726671256582
2022-10-13,0.025653909002809644
2022-10-14,-0.030723477819554135
2022-10-17,0.04077711781316775
2022-10-18,0.007271239643014888
2022-10-19,-0.0005867665655597948
2022-10-20,-0.007037460535267929
2022-10-21,0.022432175157832225
2022-10-24,0.006971544013894109
2022-10-25,0.021261305710222028
2022-10-26,-0.01993436521242011
2022-10-27,-0.01595003789338992
2022-10-28,0.02020110532443144
2022-10-31,-0.014490167368516419
2022-11-01,-0.009550550346123093
2022-11-02,-0.03324790679394535
2022-11-03,-0.01287397141438343
2022-11-04,0.015144797276926946
2022-11-07,0.010137823872667234
2022-11-08,0.0013945458446517854
2022-11-09,-0.027811760384857952
2022-11-10,0.04661125882032332
2022-11-11,0.016833674191097513
2022-11-14,-0.010360951973769968
2022-11-15,0.00898615569917121
2022-11-16,-0.013277065357951007
2022-11-17,-0.006246056006805116
2022-11-18,-0.0014257236998786787
2022-11-21,-0.019234078050673176
2022-11-22,0.01768779188058489
2022-11-23,0.017080639445999805
2022-11-25,-0.004930820656676615
2022-11-28,-0.016814302559266917
2022-11-29,-0.005504310053603527
2022-11-30,0.04530960687777385
2022-12-01,-0.0017644943184294774
2022-12-02,-0.0026192730276895235
2022-12-05,-0.021903488187930226
2022-12-06,-0.024062911546575794
2022-12-07,-0.005814750354928208
2022-12-08,0.013131442851388092
2022-12-09,-0.0037963373459438247
2022-12-12,0.0073980214735087845
2022-12-13,0.010034216662669121
2022-12-14,-0.007887171951081531
2022-12-15,-0.029299449095787043
2022-12-16,-0.01095850203816599
2022-12-19,-0.014174092196625068
2022-12-20,-0.004440682525073865
2022-12-21,0.014334310047987174
2022-12-22,-0.03263782995116172
2022-12-23,0.0053567489466528825
2022-12-27,-0.022910480170566367
2022-12-28,-0.007418706401747824
2022-12-29,0.028411481378149014
2022-12-30,0.002257801188695762
2023-01-03,-0.01370654596952358
2023-01-04,0.0033207498973824223
2023-01-05,-0.015988940548857886
2023-01-06,0.021615274882200993
2023-01-09,0.011732880731358574
2023-01-10,0.009724946501627163
2023-01-11,0.02149757076431362
2023-01-12,0.00911089512312796
2023-01-13,0.00810525796548873
2023-01-17,0.0062444747717187235
2023-01-18,-0.015892693556337448
2023-01-19,-0.0029298467440377935
2023-01-20,0.030241692675346
2023-01-23,0.02379971657520777
2023-01-24,0.0007722555535083336
2023-01-25,-0.0030860964962272147
2023-01-26,0.029352842259876062
2023-01-27,0.018535801971556947
2023-01-30,-0.026833999930721837
2023-01-31,0.01999157086337743
2023-02-01,0.018808139020506695
2023-02-02,0.023198370977578757
2023-02-03,-0.009162542421976155
2023-02-06,-0.0021333696841143593
2023-02-07,0.023832626823842407
2023-02-08,-0.01118728312159614
2023-02-09,-0.008358177926271991
2023-02-10,-0.007061861682282485
2023-02-13,0.01211859718092309
2023-02-14,0.011429494729597325
2023-02-15,0.004337344725672493
2023-02-16,-0.022698700788309767
2023-02-17,-0.005290870538383687
2023-02-21,-0.0231640246376817
2023-02-22,5.234523385931687e-05
2023-02-23,0.012154142220296735
2023-02-24,-0.014202852856674475
2023-02-27,0.008517093100270613
2023-02-28,-0.00022983492829212258
2023-03-01,-0.008975678121884973
2023-03-02,0.0013328279570321564
2023-03-03,0.02504373319503535
2023-03-06,-7.657694422749027e-05
2023-03-07,-0.014992698783431152
2023-03-08,-0.0003699554791329468
2023-03-09,-0.0222258118080335
2023-03-10,-0.008704345406170886
2023-03-13,0.0049533194688896505
2023-03-14,0.028951459843757636
2023-03-15,-0.00198587445487564
2023-03-16,0.02763637283367672
2023-03-17,-0.010896860629908625
2023-03-20,0.00599285141520202
2023-03-21,0.026465323593817393
2023-03-22,-0.014210825233689061
2023-03-23,0.00766860380514023
2023-03-24,-0.0006325870909961117
2023-03-27,-0.001220233072071479
2023-03-28,-0.006353624453075608
2023-03-29,0.014792493565496318
2023-03-30,0.007790705616038521
2023-03-31,0.01839910784398501
2023-04-03,0.0034336961970547926
2023-04-04,-0.0032098131179227407
2023-04-05,-0.00747363540432909
2023-04-06,0.009135811533498817
2023-04-10,-0.0027000275534125916
2023-04-11,-0.004687083589077377
2023-04-12,-0.008915857675995828
2023-04-13,0.02030505240946955
2023-04-14,0.0024657306332910634
2023-04-17,-0.0023750847929390017
2023-04-18,0.002169284786332942
2023-04-19,-0.0038829251286570995
2023-04-20,-0.01540300480092627
2023-04-21,0.002620762985792567
2023-04-24,-0.00021004221751019184
2023-04-25,-0.018421330740923118
2023-04-26,0.000920719046268244
2023-04-27,0.029799124945665143
2023-04-28,0.004907757839045835
2023-05-01,-0.0005555652791238316
2023-05-02,-0.012093301553573714
2023-05-03,-0.008006781170648913
2023-05-04,-0.006591747326594291
2023-05-05,0.023171986307285435
2023-05-08,0.00468791776509451
2023-05-09,-0.005611373520924002
2023-05-10,0.009366465055188731
2023-05-11,0.005171483513934116
2023-05-12,-0.006874778609488249
2023-05-15,0.0033004024785168442
2023-05-16,0.0016053850176479193
2023-05-17,0.019632995658338037
2023-05-18,0.015549312280464559
2023-05-19,-0.0015112205036841612
2023-05-22,0.004974207693299856
2023-05-23,-0.009228618135265963
2023-05-24,-0.0006984304088540672
2023-05-25,0.012980936855427694
2023-05-26,0.02060164846371177
2023-05-30,0.007404503179536376
2023-05-31,-0.007622884909482425
2023-06-01,0.018838882032008567
2023-06-02,0.010797024473775915
2023-06-05,0.00044110709044205173
