date,standardized_residuals
2021-01-04,-0.109852264439625
2021-01-05,0.72887217213301
2021-01-06,-0.4256110602736624
2021-01-07,2.4149909362839916
2021-01-08,0.7047141091142032
2021-01-11,-1.0697670974272089
2021-01-12,0.10846201667603907
2021-01-13,0.32676789152051205
2021-01-14,-0.6327097040574542
2021-01-15,-1.0748968615003172
2021-01-19,1.0327065862300346
2021-01-20,1.4937273359830412
2021-01-21,0.4038950748467976
2021-01-22,-0.2989770599073354
2021-01-25,0.441782835157571
2021-01-26,-0.1751830474286621
2021-01-27,-2.0746145328525807
2021-01-28,-0.07225452047802987
2021-01-29,-1.7967629130525944
2021-02-01,1.5079227881465362
2021-02-02,1.0521801876860422
2021-02-03,0.46921952603226375
2021-02-04,0.21603874634101478
2021-02-05,0.22826130623490246
2021-02-08,0.7845870817376803
2021-02-09,-0.3595297724740501
2021-02-10,-0.10443720108465745
2021-02-11,-0.08037077949311267
2021-02-12,-0.002102865882471606
2021-02-16,0.2688760207539185
2021-02-17,-0.1076799184391961
2021-02-18,-0.6132898834496896
2021-02-19,-0.6170598089534657
2021-02-22,-1.5871042167833287
2021-02-23,0.0102446370941023
2021-02-24,1.1391881948463185
2021-02-25,-3.2061157750593585
2021-02-26,-0.04334818709851454
2021-03-01,1.8192324906475767
2021-03-02,-1.056445022245194
2021-03-03,-1.1982484676601408
2021-03-04,-0.35832488782306576
2021-03-05,0.9584613298760467
2021-03-08,-1.6145820891831848
2021-03-09,1.9982129453211235
2021-03-10,0.07929379969166472
2021-03-11,0.9907637241666531
2021-03-12,-0.3300353142842574
2021-03-15,0.09100564892010103
2021-03-16,-0.1643352068035795
2021-03-17,0.3276681342565277
2021-03-18,-1.8060922818631255
2021-03-19,0.19198413734787823
2021-03-22,0.3934513578244335
2021-03-23,-0.3410070254473725
2021-03-24,-0.8366226143239606
2021-03-25,-0.21637382382606682
2021-03-26,0.5989950062125108
2021-03-29,0.04944325242361516
2021-03-30,-0.3610194492338072
2021-03-31,0.7545442562389277
2021-04-01,1.167450072170646
2021-04-05,1.3824311682132675
2021-04-06,-0.497662953881724
2021-04-07,0.6106960909933202
2021-04-08,0.3226335750323288
2021-04-09,0.602356574258147
2021-04-12,0.272282822996115
2021-04-13,0.9533007869271335
2021-04-14,-1.131748284577991
2021-04-15,1.4008274439463493
2021-04-16,-0.1843478121870492
2021-04-19,-0.9138517666583715
2021-04-20,-0.6732345329553441
2021-04-21,0.6063311276947724
2021-04-22,-1.5882863768287723
2021-04-23,1.122138552607756
2021-04-26,0.2940761819055146
2021-04-27,-0.40211478934741596
2021-04-28,0.2551926934805481
2021-04-29,0.9072108697402228
2021-04-30,-0.8352241146435875
2021-05-03,-0.3108893725840315
2021-05-04,-1.080013832869505
2021-05-05,0.19509386886178057
2021-05-06,0.7326909610124624
2021-05-07,0.5291801051785422
2021-05-10,-2.1059365413250384
2021-05-11,-0.9703138791908131
2021-05-12,-1.7664947629680305
2021-05-13,0.26728310179319187
2021-05-14,1.6609512511427253
2021-05-17,-0.04298513696566469
2021-05-18,-0.9902370782659036
2021-05-19,-0.3998893377977712
2021-05-20,0.8708683635379584
2021-05-21,-0.14516985024491838
2021-05-24,1.456037661557759
2021-05-25,-0.24726468357773201
2021-05-26,0.22802061669927426
2021-05-27,-0.22498495666704785
2021-05-28,0.006309255336368199
2021-06-01,0.25880908185955076
2021-06-02,0.07506608141510517
2021-06-03,-0.7181076983389026
2021-06-04,1.236120358222215
2021-06-07,0.014012186857927955
2021-06-08,0.017734473324348604
2021-06-09,-0.24552827665745408
2021-06-10,0.329093862565021
2021-06-11,-0.07127227200999108
2021-06-14,0.534458565593705
2021-06-15,-0.38951990659676167
2021-06-16,-0.2862444526274275
2021-06-17,0.5098984217348038
2021-06-18,-1.4216901294611446
2021-06-21,0.9340144281673606
2021-06-22,1.0281443843786084
2021-06-23,0.3982026365464243
2021-06-24,0.4328036977245082
2021-06-25,-0.33314464807594435
2021-06-28,1.0496860851563348
2021-06-29,-0.3100994449864448
2021-06-30,-0.08107362154543304
2021-07-01,0.48190020223666946
2021-07-02,1.0183454522976183
2021-07-06,-0.17257757584377606
2021-07-07,-0.42614151808646755
2021-07-08,-1.0353910071372514
2021-07-09,0.898250872731849
2021-07-12,0.8460934803578741
2021-07-13,-0.5519168458533004
2021-07-14,-0.7369821493042876
2021-07-15,-1.1471366637665843
2021-07-16,-1.6703415583679198
2021-07-19,-1.4133713070079588
2021-07-20,0.8826157679678468
2021-07-21,1.0890396141640115
2021-07-22,0.2571405134762258
2021-07-23,0.9344368736987771
2021-07-26,0.34108291281477005
2021-07-27,-1.0780178163773233
2021-07-28,0.40174283776077246
2021-07-29,0.06622079115946809
2021-07-30,-1.276115874252147
2021-08-02,0.14384975535895858
2021-08-03,0.5659203086161384
2021-08-04,-0.12881385385846666
2021-08-05,0.44558049049181464
2021-08-06,-0.13380611821872238
2021-08-09,-0.27142041538498973
2021-08-10,-0.2505345003520498
2021-08-11,-0.38734370469557633
2021-08-12,0.6222675612657337
2021-08-13,-0.01735085824572447
2021-08-16,-0.3624573666555042
2021-08-17,-1.532180039026115
2021-08-18,-1.211659709049899
2021-08-19,0.19027652292592345
2021-08-20,1.329867521628562
2021-08-23,1.8446116377109247
2021-08-24,0.06404254444143648
2021-08-25,0.28183359886956016
2021-08-26,-0.7252540058078625
2021-08-27,1.1829168778368688
2021-08-30,0.5887303598591176
2021-08-31,-0.47334944067858836
2021-09-01,-0.0830838355110886
2021-09-02,-0.1078643430324464
2021-09-03,0.14304872717943573
2021-09-07,0.23083146693359816
2021-09-08,-0.8477104699328363
2021-09-09,-0.47525567312257666
2021-09-10,-1.1491810042331085
2021-09-13,0.5130384872109583
2021-09-14,-0.44002446491665176
2021-09-15,0.9779816801279266
2021-09-16,-0.40018657058073553
2021-09-17,-1.3315322968628176
2021-09-20,-2.7056918407267303
2021-09-21,0.09066555186619914
2021-09-22,0.737899582573882
2021-09-23,1.0217136106671638
2021-09-24,0.27994877183980776
2021-09-27,-0.07571084978404233
2021-09-28,-2.2534390294731925
2021-09-29,-0.24407664073771626
2021-09-30,-0.7311042828353249
2021-10-01,0.9889904056721676
2021-10-04,-1.6366205413774313
2021-10-05,1.042700964818471
2021-10-06,0.2311748771364362
2021-10-07,0.6014961988778466
2021-10-08,0.021038404685106663
2021-10-11,-0.7430211687802909
2021-10-12,-0.4834767817906503
2021-10-13,0.05594729219008167
2021-10-14,1.722468353338759
2021-10-15,0.7508691062765128
2021-10-18,0.7800967869637166
2021-10-19,0.3630888281386969
2021-10-20,0.018223463349693943
2021-10-21,0.46458153276824093
2021-10-22,-0.6833989913588951
2021-10-25,1.3154901494931959
2021-10-26,0.9406901231781103
2021-10-27,0.23690727635755962
2021-10-28,1.0398424494001068
2021-10-29,0.8025610994926256
2021-11-01,0.45914989285812685
2021-11-02,-0.05811965777281152
2021-11-03,0.6897160166072243
2021-11-04,1.955458956364528
2021-11-05,0.0900913040169267
2021-11-08,0.021536022119294434
2021-11-09,-1.19030728695632
2021-11-10,-1.3936678366892723
2021-11-11,0.2386879517209942
2021-11-12,0.33995434436950145
2021-11-15,-0.376442315638521
2021-11-16,0.3059786957531102
2021-11-17,-0.3556171945236968
2021-11-18,1.5767170519829583
2021-11-19,0.2979332143192692
2021-11-22,-0.7297247814984258
2021-11-23,-0.16480123615367467
2021-11-24,0.55192377425335
2021-11-26,-2.905875852375991
2021-11-29,1.889203621623262
2021-11-30,-1.139564664301461
2021-12-01,-1.2828868564833757
2021-12-02,0.43441738565848687
2021-12-03,-1.535518322489478
2021-12-06,0.41797421892151515
2021-12-07,2.0915043194519867
2021-12-08,0.10780192974486578
2021-12-09,-0.965303673445997
2021-12-10,0.28125708091410806
2021-12-13,-1.5916961146439983
2021-12-14,-0.41240561565957196
2021-12-15,1.511185430464803
2021-12-16,-1.6564242631043575
2021-12-17,-0.7159105603612832
2021-12-20,-0.8439322464074682
2021-12-21,1.3904270622421122
2021-12-22,0.8290002238310392
2021-12-23,0.47814587046776186
2021-12-27,1.080230718255359
2021-12-28,-0.3558050667360316
2021-12-29,-0.3065322917746036
2021-12-30,-0.4867787385961853
2021-12-31,-0.567569695945714
2022-01-03,1.727454436339646
2022-01-04,-0.640028475283979
2022-01-05,-2.0694703867711963
2022-01-06,-0.09658075865454359
2022-01-07,-0.6706132143288781
2022-01-10,0.1805344372397848
2022-01-11,0.8481191741129561
2022-01-12,0.43602234254686967
2022-01-13,-1.977711997994224
2022-01-14,0.211091344341709
2022-01-18,-1.5000796434696355
2022-01-19,-0.8191382589163949
2022-01-20,-0.7756434621280666
2022-01-21,-1.7475011910498934
2022-01-24,0.051622651165320124
2022-01-25,-0.9836750554111928
2022-01-26,0.33467169106482664
2022-01-27,-0.9668203364801764
2022-01-28,1.57009203076594
2022-01-31,1.8956400588131794
2022-02-01,0.6402318943360318
2022-02-02,0.6746681277111474
2022-02-03,-2.704866587708965
2022-02-04,0.8604415282280203
2022-02-07,-0.3453304829491277
2022-02-08,0.2655624187030835
2022-02-09,0.8732281923809709
2022-02-10,-1.189093990543488
2022-02-11,-1.4787614031660161
2022-02-14,-0.02841771011800992
2022-02-15,1.1860338780633275
2022-02-16,0.006538110453487407
2022-02-17,-1.8809256447025289
2022-02-18,-0.7597909195584084
2022-02-22,-0.7269496741045848
2022-02-23,-1.3577087340139018
2022-02-24,1.135860246716825
2022-02-25,0.9155829813606503
2022-02-28,0.23586635828586627
2022-03-01,-0.823808634752203
2022-03-02,0.9072398244545503
2022-03-03,-0.7320470689888477
2022-03-04,-0.4121159729515589
2022-03-07,-1.8662616979050346
2022-03-08,-0.11435257287091075
2022-03-09,1.3671197772442527
2022-03-10,-0.1181771947057884
2022-03-11,-1.274477895597266
2022-03-14,-1.2474752829926508
2022-03-15,1.1131471747543096
2022-03-16,1.613844541394272
2022-03-17,0.753913571365431
2022-03-18,1.0720293447091256
2022-03-21,0.38523105984849376
2022-03-22,0.7946586532225969
2022-03-23,-0.49696392553045615
2022-03-24,1.4118329788041923
2022-03-25,0.05614237862442839
2022-03-28,0.5161898183872915
2022-03-29,0.37190597953804333
2022-03-30,-0.38377089851906965
2022-03-31,-1.286587081347606
2022-04-01,-0.062003158482012044
2022-04-04,1.1862140734738797
2022-04-05,-1.3623227949101067
2022-04-06,-1.46107619437279
2022-04-07,0.10019382683443254
2022-04-08,-0.634389845109583
2022-04-11,-2.1223085059076303
2022-04-12,-0.15677110642542957
2022-04-13,0.8371935748468241
2022-04-14,-1.246486174389243
2022-04-18,0.44922147933347456
2022-04-19,0.8051136999205781
2022-04-20,-0.9755768770615465
2022-04-21,-1.2864325125458616
2022-04-22,-1.6708230903322445
2022-04-25,0.15937985568797633
2022-04-26,-2.4508832526897724
2022-04-27,-0.05743182107451607
2022-04-28,2.016411283921564
2022-04-29,-2.0138209326415684
2022-05-02,0.7643444072876547
2022-05-03,0.23347112451194274
2022-05-04,1.5842069018555565
2022-05-05,-2.1556200026121006
2022-05-06,-0.11074696068698658
2022-05-09,-2.22402122984866
2022-05-10,0.3403186285649575
2022-05-11,-0.9805796677953417
2022-05-12,-0.37563607041312896
2022-05-13,1.4054280771676633
2022-05-16,-0.29326419969044715
2022-05-17,0.9654587970130298
2022-05-18,-1.8547159840490959
2022-05-19,-0.11439000792660081
2022-05-20,-0.2954549928529507
2022-05-23,0.9259492328179069
2022-05-24,-0.9065031610089723
2022-05-25,0.6605100251312078
2022-05-26,0.9966810526963851
2022-05-27,1.249027861215328
2022-05-31,-0.21967722857955915
2022-06-01,-0.21333534748089877
2022-06-02,1.0211113042074011
2022-06-03,-1.224524182705157
2022-06-06,0.22222093206776594
2022-06-07,0.659870548357168
2022-06-08,-0.1798315915105952
2022-06-09,-1.3908375916022282
2022-06-10,-1.846552266118767
2022-06-13,-2.3560678778960313
2022-06-14,-0.012046872429086834
2022-06-15,0.804404784537931
2022-06-16,-1.7430221168469469
2022-06-17,-0.2500414781137502
2022-06-21,1.7747060325130743
2022-06-22,-0.40620347698011117
2022-06-23,0.032659885471310525
2022-06-24,1.3291111251587053
2022-06-27,-0.0852062327316435
2022-06-28,-0.9373316340160749
2022-06-29,-0.34258741384691727
2022-06-30,-1.0009966171644578
2022-07-01,0.25710935084060627
2022-07-05,0.3104776579890731
2022-07-06,0.1133944236286473
2022-07-07,1.320493990980215
2022-07-08,0.07899453322929513
2022-07-11,-1.3340945532556354
2022-07-12,-0.6356774455743037
2022-07-13,-0.2959251846038863
2022-07-14,-0.34403918822961893
2022-07-15,1.3433738479430417
2022-07-18,-0.22142898333161362
2022-07-19,1.838154059910488
2022-07-20,0.5540120670021587
2022-07-21,0.5694180765941604
2022-07-22,-1.2605397453695864
2022-07-25,0.04078500460752011
2022-07-26,-1.2344194984820447
2022-07-27,2.49194562726215
2022-07-28,0.3771557935220617
2022-07-29,1.3933407327350498
2022-08-01,-0.47617716388533177
2022-08-02,-0.21992463737527368
2022-08-03,0.700379037305521
2022-08-04,-0.38505666307935377
2022-08-05,-0.41418973906316814
2022-08-08,-0.510622258950816
2022-08-09,-0.30413009266361085
2022-08-10,1.6097049191163577
2022-08-11,-0.16263156385816027
2022-08-12,1.3350949055058363
2022-08-15,0.10921619532843488
2022-08-16,-0.2653359686667591
2022-08-17,-0.5679444039847081
2022-08-18,0.300200121364329
2022-08-19,-1.3874905511278275
2022-08-22,-1.5131516815745387
2022-08-23,0.35955504405930877
2022-08-24,0.06594302016772596
2022-08-25,1.0260319700582021
2022-08-26,-2.7332054414213203
2022-08-29,-0.2948201936203891
2022-08-30,-1.1372704868193015
2022-08-31,-0.5172859098450076
2022-09-01,-0.4474531733349895
2022-09-02,-0.6723363086210628
2022-09-06,-0.408840648786379
