date,portfolio_pnl
2021-01-04,0.0
2021-01-05,10865.813175831805
2021-01-06,-3990.9995489008725
2021-01-07,31600.51460301166
2021-01-08,12164.480812577298
2021-01-11,-14504.766374429804
2021-01-12,3135.903753839317
2021-01-13,6228.150038154679
2021-01-14,-7335.214204554912
2021-01-15,-13146.259830312454
2021-01-19,15555.093850424513
2021-01-20,22285.752907687332
2021-01-21,7572.886486040661
2021-01-22,-2777.92948810244
2021-01-25,7769.97058418137
2021-01-26,-833.3416076384019
2021-01-27,-26030.891307896934
2021-01-28,484.4747374956496
2021-01-29,-23737.290004822426
2021-02-01,23981.75352529576
2021-02-02,18363.411299452884
2021-02-03,9231.010211423272
2021-02-04,5032.32446546806
2021-02-05,5119.6518012254965
2021-02-08,13367.197234724415
2021-02-09,-3780.1888221597765
2021-02-10,95.01728504453786
2021-02-11,483.83184369071387
2021-02-12,1581.3176138477866
2021-02-16,5140.241346651688
2021-02-17,240.2428253311664
2021-02-18,-6006.269880623324
2021-02-19,-5912.286330478266
2021-02-22,-17387.151640801225
2021-02-23,1705.6055851804558
2021-02-24,15469.175506747793
2021-02-25,-38859.00884146686
2021-02-26,853.3909140068572
2021-03-01,29487.324496140936
2021-03-02,-16505.221550110728
2021-03-03,-18717.164741721237
2021-03-04,-4512.9835670255125
2021-03-05,17085.7519850831
2021-03-08,-24979.50652021088
2021-03-09,35469.590487944544
2021-03-10,3112.95482637058
2021-03-11,20078.48384338105
2021-03-12,-4651.161773343105
2021-03-15,3253.4365554393735
2021-03-16,-1271.7659979527816
2021-03-17,7107.432196169393
2021-03-18,-27872.995049805846
2021-03-19,4879.070672557224
2021-03-22,8126.539444152266
2021-03-23,-3939.240108585218
2021-03-24,-11478.480396145955
2021-03-25,-1740.7190926638432
2021-03-26,10388.4139765203
2021-03-29,2299.8436446909327
2021-03-30,-3492.9645376699045
2021-03-31,11847.817021426046
2021-04-01,17480.08980424516
2021-04-05,21098.368502191734
2021-04-06,-5768.564308230998
2021-04-07,10477.820892719552
2021-04-08,6278.79096653685
2021-04-09,10087.617609665263
2021-04-12,5453.569421312772
2021-04-13,14573.705031606602
2021-04-14,-13842.84673365415
2021-04-15,21066.266611346276
2021-04-16,-982.873692497611
2021-04-19,-11262.202359815361
2021-04-20,-7772.755775492638
2021-04-21,10054.60267447331
2021-04-22,-20009.044630958233
2021-04-23,17718.017907071626
2021-04-26,6039.36247698497
2021-04-27,-4063.5872200133745
2021-04-28,5268.359078413807
2021-04-29,14063.707767441869
2021-04-30,-9784.793778272578
2021-05-03,-2516.6142023305874
2021-05-04,-12591.249332254753
2021-05-05,4297.611088377424
2021-05-06,11221.917670587078
2021-05-07,8608.968133687042
2021-05-10,-25394.601084996015
2021-05-11,-12151.758610262768
2021-05-12,-23365.736376776593
2021-05-13,5666.278832608135
2021-05-14,25949.042676844867
2021-05-17,1005.6723259817809
2021-05-18,-13581.501972763333
2021-05-19,-4438.390255349455
2021-05-20,14546.35556398821
2021-05-21,-474.25732839130796
2021-05-24,22660.98400414316
2021-05-25,-2079.846846193308
2021-05-26,5106.535848262021
2021-05-27,-1525.820088520879
2021-05-28,1812.4424273248296
2021-06-01,5243.2523740886245
2021-06-02,2731.142531519523
2021-06-03,-7547.190868674312
2021-06-04,17491.773064506007
2021-06-07,1939.997670010198
2021-06-08,1986.1797110796906
2021-06-09,-1348.3390516848303
2021-06-10,5819.707361224107
2021-06-11,899.1533981894609
