model,n_exceptions,exception_ratio,expected_ratio,average_var,var_volatility,worst_daily_loss,expected_shortfall,kupiec_p_value,christoffersen_p_value,basel_zone,overall_conclusion
Historical,62,0.05419580419580419,0.050000000000000044,0.02417470210307462,0.0053701827686130936,0.0626390255866002,0.03528846377705852,0.5203439700796169,0.7205765640992062,Green,Pass
EWMA,56,0.04895104895104895,0.050000000000000044,0.024805022667902424,0.009915778844849949,0.0626390255866002,0.03528846377705852,0.8702572704665302,0.6213723155136928,Green,Pass
GARCH,81,0.07080419580419581,0.050000000000000044,0.0214461998666708,0.002649271506286096,0.0626390255866002,0.03528846377705852,0.002311542152948154,0.9076607408472905,Yellow,Fail
GJR-GARCH,78,0.06818181818181818,0.050000000000000044,0.02168753839371725,0.002324409604530026,0.0626390255866002,0.03528846377705852,0.007352296274653725,0.4537889677280943,Yellow,Fail
