date,gjr_garch_scaled_return
2021-01-04,0.0
2021-01-05,0.011136823582090147
2021-01-06,-0.0041652222891764516
2021-01-07,0.033674501687588926
2021-01-08,0.012909250560760562
2021-01-11,-0.015606284396968161
2021-01-12,0.003177978876184545
2021-01-13,0.006470006201978344
2021-01-14,-0.0077777229108149165
2021-01-15,-0.013971050899542306
2021-01-19,0.01583627395636227
2021-01-20,0.022985915660884197
2021-01-21,0.007854309303243413
2021-01-22,-0.002934386386255357
2021-01-25,0.00837448241703893
2021-01-26,-0.0009125293166102206
2021-01-27,-0.029102470852992772
2021-01-28,0.0004344893455738882
2021-01-29,-0.02197739554087668
2021-02-01,0.019733172044216592
2021-02-02,0.015308591506469271
2021-02-03,0.007832543436886073
2021-02-04,0.004378958051660919
2021-02-05,0.004581096111128326
2021-02-08,0.012283449879319962
2021-02-09,-0.003536099513487846
2021-02-10,9.103248315574076e-05
2021-02-11,0.00047635286549650946
2021-02-12,0.0015976075532849858
2021-02-16,0.005317618294568637
2021-02-17,0.0002533289904252104
2021-02-18,-0.006473401238951056
2021-02-19,-0.006399614244435571
2021-02-22,-0.018909696970145808
2021-02-23,0.00168260226280712
2021-02-24,0.015658502449596313
2021-02-25,-0.03979842830656093
2021-02-26,0.0006144042508562296
2021-03-01,0.022058606309162607
2021-03-02,-0.012477713691260401
2021-03-03,-0.013966165370085373
2021-03-04,-0.0032875038208992936
2021-03-05,0.012911080104268394
2021-03-08,-0.01929349490226763
2021-03-09,0.02535016961316347
2021-03-10,0.0022383305554440546
2021-03-11,0.014963830401036318
2021-03-12,-0.00353348038944844
2021-03-15,0.002555184998283619
2021-03-16,-0.001032056227417717
2021-03-17,0.00596829311405041
2021-03-18,-0.024043844036365756
2021-03-19,0.0036561217428817587
2021-03-22,0.006294442866394982
2021-03-23,-0.0031409773809451132
2021-03-24,-0.009455819522352324
2021-03-25,-0.0014405029192292675
2021-03-26,0.008894545680855495
2021-03-29,0.002016613503793128
2021-03-30,-0.003156536041818166
2021-03-31,0.011004564460123933
2021-04-01,0.0165481610111019
2021-04-05,0.020229623553296917
2021-04-06,-0.005577926027982579
2021-04-07,0.010274131617243264
2021-04-08,0.006257623404485429
2021-04-09,0.01024323995347878
2021-04-12,0.005616127992884209
2021-04-13,0.015262946564504578
2021-04-14,-0.014609981056263174
2021-04-15,0.021004426917718595
2021-04-16,-0.00098492527020488
2021-04-19,-0.01152194303036097
2021-04-20,-0.00772912522334997
2021-04-21,0.009996000808567253
2021-04-22,-0.02018418697181419
2021-04-23,0.015998968256174428
2021-04-26,0.0055256069782506365
2021-04-27,-0.0038005886698820168
2021-04-28,0.005026522055799986
2021-04-29,0.01369574824403808
2021-04-30,-0.009640993203464053
2021-05-03,-0.002448524544669731
2021-05-04,-0.012504578806245408
2021-05-05,0.004125280025012671
2021-05-06,0.011002995487620206
2021-05-07,0.008559941277915754
2021-05-10,-0.025630675657998793
2021-05-11,-0.010280789271556715
2021-05-12,-0.0196495504339908
2021-05-13,0.00435002029126182
2021-05-14,0.02053751844082927
2021-05-17,0.0008052192753100113
2021-05-18,-0.011230554300808082
2021-05-19,-0.0036283501261819007
2021-05-20,0.012233812989217906
2021-05-21,-0.00040655138328692016
2021-05-24,0.02001957121423883
2021-05-25,-0.0018554295239721955
2021-05-26,0.0046769044663576365
2021-05-27,-0.0014291157531546089
2021-05-28,0.0017389908084761143
2021-06-01,0.005146158468322677
2021-06-02,0.0027304705065330772
2021-06-03,-0.007692136353361399
2021-06-04,0.01777321416117393
2021-06-07,0.00198329325322257
2021-06-08,0.002067301721385907
2021-06-09,-0.001427013409106525
2021-06-10,0.0062544329414280335
2021-06-11,0.0009773175983083277
2021-06-14,0.008948258921644437
2021-06-15,-0.0031410458100199416
2021-06-16,-0.0017346732551977821
2021-06-17,0.008571416921072234
2021-06-18,-0.016330312722785997
2021-06-21,0.013425736443953716
2021-06-22,0.014998434201391428
2021-06-23,0.007164536146223812
2021-06-24,0.007638112321050486
2021-06-25,-0.0024174780030451876
2021-06-28,0.015652805564807092
2021-06-29,-0.002170294474768157
2021-06-30,0.0009404625400407684
2021-07-01,0.008394489923095739
2021-07-02,0.015480410593617154
2021-07-06,-0.0002585710603934284
2021-07-07,-0.0036161011726265173
2021-07-08,-0.01160022416447036
2021-07-09,0.013521616803066266
2021-07-12,0.013132851961718598
2021-07-13,-0.005349008608733985
2021-07-14,-0.007685883637327388
2021-07-15,-0.012847868785748862
2021-07-16,-0.01909599507546359
2021-07-19,-0.01533945871252752
2021-07-20,0.011916673769164011
2021-07-21,0.014765124046378779
2021-07-22,0.00487970911364305
2021-07-23,0.013452341114874535
2021-07-26,0.006140009769176364
2021-07-27,-0.012216369257662495
2021-07-28,0.006744831073425623
2021-07-29,0.002553501784754123
2021-07-30,-0.014293093387216745
2021-08-02,0.003405121653766434
2021-08-03,0.008589132739620451
2021-08-04,0.00014123449712097794
2021-08-05,0.007230686672161468
2021-08-06,0.0001526676880286672
2021-08-09,-0.001495580246492511
2021-08-10,-0.0011989121457848257
2021-08-11,-0.0028253870756817278
2021-08-12,0.009450544075889336
2021-08-13,0.0017252138456030205
2021-08-16,-0.0024591441873566934
2021-08-17,-0.01663762475843094
2021-08-18,-0.012506320486591702
2021-08-19,0.003928510137234264
2021-08-20,0.017242021622997393
2021-08-23,0.02471049424349676
2021-08-24,0.0027180938177300243
2021-08-25,0.005748248001247565
2021-08-26,-0.008045047355625596
2021-08-27,0.017712980750749136
2021-08-30,0.010137239633096247
2021-08-31,-0.004720015680957872
2021-09-01,0.0007788073529010875
2021-09-02,0.0004813866054539229
2021-09-03,0.003912171526767838
2021-09-07,0.005093326494877055
2021-09-08,-0.00921989075852148
2021-09-09,-0.004192860767728615
2021-09-10,-0.01276708363848116
2021-09-13,0.008260144895372022
2021-09-14,-0.003621978052802849
2021-09-15,0.014078987815763685
2021-09-16,-0.0032021674680574063
2021-09-17,-0.014999183076923613
2021-09-20,-0.03151001466658196
2021-09-21,0.0024013092109995385
2021-09-22,0.009856092197154873
2021-09-23,0.013405467525601856
2021-09-24,0.004906392367560003
2021-09-27,0.000621810865975681
2021-09-28,-0.025786830274356385
2021-09-29,-0.001505455309702323
2021-09-30,-0.007071348134811501
2021-10-01,0.012708289910617718
2021-10-04,-0.018102678384022904
2021-10-05,0.01336169220626371
2021-10-06,0.00411950193633023
2021-10-07,0.008642862044687042
2021-10-08,0.0016749658565312477
2021-10-11,-0.007610847414737424
2021-10-12,-0.00438594204194657
2021-10-13,0.0021670904778469725
2021-10-14,0.022256148661229963
2021-10-15,0.011611162387599397
2021-10-18,0.012210118330131085
2021-10-19,0.00667455247173863
2021-10-20,0.001955481931973035
2021-10-21,0.008078843834866175
2021-10-22,-0.0075370357916256635
2021-10-25,0.019357571492870984
2021-10-26,0.015118901843830952
2021-10-27,0.005270521950202441
2021-10-28,0.016789798731995577
2021-10-29,0.013759678350835086
2021-11-01,0.008792578094583493
2021-11-02,0.0010977212919297495
2021-11-03,0.012074055480424374
2021-11-04,0.03072467971237821
2021-11-05,0.0035238589146284207
2021-11-08,0.0024056421532959445
2021-11-09,-0.016800992613260637
2021-11-10,-0.0185860034768047
2021-11-11,0.004933752432127275
2021-11-12,0.00633031118091663
2021-11-15,-0.003343636220738984
2021-11-16,0.005870664300766957
2021-11-17,-0.002930083522657099
2021-11-18,0.022640837651156428
2021-11-19,0.0061361614350599015
2021-11-22,-0.00847117777428242
2021-11-23,-0.00041905908263686485
2021-11-24,0.009447787337232973
2021-11-26,-0.037932031205780294
2021-11-29,0.02388184035079354
2021-11-30,-0.014057730397061798
2021-12-01,-0.01544610106062524
2021-12-02,0.006702404176403136
2021-12-03,-0.018162122643783248
2021-12-06,0.006248554424197592
2021-12-07,0.026784137839013678
2021-12-08,0.0027895928157252834
2021-12-09,-0.012354444208235175
2021-12-10,0.005110328819368863
2021-12-13,-0.020425638312776512
2021-12-14,-0.004122475594566033
2021-12-15,0.020459062110321495
2021-12-16,-0.021698638066461096
2021-12-17,-0.008142105011667618
2021-12-20,-0.009647757011741578
2021-12-21,0.018533654321143556
2021-12-22,0.012309718306809813
2021-12-23,0.00778245024081689
2021-12-27,0.016207098212303178
2021-12-28,-0.0038628911356008277
2021-12-29,-0.003073660965293038
2021-12-30,-0.005553691864584311
2021-12-31,-0.006570996695526467
2022-01-03,0.025194035294274997
2022-01-04,-0.008348905719402114
2022-01-05,-0.029394322611819627
2022-01-06,-0.00014114066225083527
2022-01-07,-0.007587987201923555
