,garch_forecast_volatility
1,0.012867654338410086
2,0.012926956175007089
3,0.012984622783494111
4,0.013040707329850729
5,0.013095260756768595
6,0.013148331908172144
7,0.013199967644677917
8,0.013250212950802536
9,0.013299111034644333
10,0.013346703420688673
