date,gjr_garch_conditional_volatility
2021-01-04,0.013347285152855359
2021-01-05,0.012956028932537693
2021-01-06,0.012586964327121784
2021-01-07,0.012376234097520453
2021-01-08,0.012049454328962933
2021-01-11,0.011747038294349305
2021-01-12,0.01264638422341709
2021-01-13,0.012299758902148445
2021-01-14,0.011978644815580513
2021-01-15,0.012035890743394468
2021-01-19,0.012725044602732327
2021-01-20,0.012372688617723417
2021-01-21,0.012046171041534944
2021-01-22,0.011744001882692751
2021-01-25,0.011539901905539602
2021-01-26,0.011276329955636589
2021-01-27,0.011053183356894756
2021-01-28,0.014121150457416852
2021-01-29,0.013672010155289158
2021-02-01,0.015739879456950177
2021-02-02,0.015180790757416573
2021-02-03,0.014658445444121884
2021-02-04,0.014171001264892373
2021-02-05,0.013716678386931514
2021-02-08,0.013293755469674541
2021-02-09,0.012900566423058453
2021-02-10,0.012639226123018332
2021-02-11,0.012298221035657
2021-02-12,0.011979372747207333
2021-02-16,0.011682235545186086
2021-02-17,0.01140770270048822
2021-02-18,0.011158619589676346
2021-02-19,0.011171427796190816
2021-02-22,0.01117880494404506
2021-02-23,0.012523268414813736
2021-02-24,0.012185655293304438
2021-02-25,0.011873035153410325
2021-02-26,0.01751319656024598
2021-03-01,0.016841359632747646
2021-03-02,0.016211502056534273
2021-03-03,0.016678859020783175
2021-03-04,0.017389489376741517
2021-03-05,0.016835831802885236
2021-03-08,0.01620632452884484
2021-03-09,0.01793639969414674
2021-03-10,0.017237999212202662
2021-03-11,0.016583123342286392
2021-03-12,0.015969680077590018
2021-03-15,0.015513395824420786
2021-03-16,0.014969119383503784
2021-03-17,0.014483066819512103
2021-03-18,0.014007475183944436
2021-03-19,0.016544493925694036
2021-03-22,0.015933514953303772
2021-03-23,0.015361836775549677
2021-03-24,0.014923189372417428
2021-03-25,0.015015185412937837
2021-03-26,0.014536156589647653
2021-03-29,0.014056969573046408
2021-03-30,0.013610477882587275
2021-03-31,0.013285037232064367
2021-04-01,0.012892466566477356
2021-04-05,0.012527982413960491
2021-04-06,0.012190023246666959
2021-04-07,0.012082724626695174
2021-04-08,0.011777809335919598
2021-04-09,0.011495965641744153
2021-04-12,0.01123579525295688
2021-04-13,0.010995948854315075
2021-04-14,0.010775126699552127
2021-04-15,0.011542574423103406
2021-04-16,0.011278795844531704
2021-04-19,0.011056797903508499
2021-04-20,0.011485847164712272
2021-04-21,0.011565652316093472
2021-04-22,0.011300090766079707
2021-04-23,0.012844412614851078
2021-04-26,0.012483400050833928
2021-04-27,0.01214871673857987
2021-04-28,0.011950667339789743
2021-04-29,0.011655698013004956
2021-04-30,0.011383202075784254
2021-05-03,0.011623872982302347
2021-05-04,0.011412223161593491
2021-05-05,0.011935389473128681
2021-05-06,0.011641575308474886
2021-05-07,0.011370164612644389
2021-05-10,0.011119782224046519
2021-05-11,0.013556583537858727
2021-05-12,0.013783092972939393
2021-05-13,0.015412588845009224
2021-05-14,0.014874936477739178
2021-05-17,0.014372956306807865
2021-05-18,0.01390503337374262
2021-05-19,0.01423243583543183
2021-05-20,0.013888248631711946
2021-05-21,0.013453404648193456
2021-05-24,0.01305979942323588
2021-05-25,0.012683284621266933
2021-05-26,0.012376078564934466
2021-05-27,0.012049310297229719
2021-05-28,0.011777598362320483
2021-06-01,0.011495770763769644
2021-06-02,0.011235615481812726
2021-06-03,0.010995783236643046
2021-06-04,0.01110019827099778
2021-06-07,0.010871072138625941
2021-06-08,0.010660270259586702
2021-06-09,0.010466571519087817
2021-06-10,0.010318946165640854
2021-06-11,0.010153471983325415
2021-06-14,0.010002621755143739
2021-06-15,0.009863939161771147
2021-06-16,0.009813475823889046
2021-06-17,0.009727847470631554
2021-06-18,0.00961297650276254
2021-06-21,0.010571573074963796
2021-06-22,0.010385143937276308
2021-06-23,0.01021414214502404
2021-06-24,0.010057474164483797
2021-06-25,0.009914099595324964
2021-06-28,0.009837290601406258
2021-06-29,0.00971287262543465
2021-06-30,0.009646591545781765
2021-07-01,0.009539896346287137
2021-07-02,0.009441623489175842
2021-07-06,0.009352135095310904
2021-07-07,0.009281643744881305
2021-07-08,0.009296652847366903
2021-07-09,0.009791311877663418
