date,AAPL,MSFT,NVDA,JPM,XOM,AMZN,META,GOOGL,TSLA,UNH
2021-03-24,0.023844276615791308,0.01698731563069177,0.03829453184501508,0.015641047857251258,0.023601018250840235,0.018732100432396717,0.024587278544710253,0.02048745375770385,0.04900979657126767,0.011368737226338589
2021-03-25,0.023888579984305183,0.01720356714364525,0.037683277623519945,0.015410550816889294,0.02269095954490327,0.01879630421449744,0.024735748420597847,0.02030147295898412,0.04680508130777137,0.011394618887277295
2021-03-26,0.022690345100126966,0.016749019553114967,0.03458749369370953,0.015501031656012297,0.023116923503245217,0.01738979414700222,0.02312961556807886,0.018960701748838474,0.04411520951459239,0.010970808446299505
2021-03-29,0.022686607745633365,0.01652947310860197,0.033907371827457025,0.014654282653606127,0.02235598647202038,0.017278994470105953,0.023598596352865504,0.019082526175765693,0.044120616695529885,0.0109413427887965
2021-03-30,0.020585501772029585,0.016251459292836203,0.033801298355936,0.014077653582611328,0.021149242983837434,0.016860263261302078,0.023260807499092873,0.01835571448190765,0.042565388758795425,0.01186267855516973
2021-03-31,0.02066517156435155,0.016450758262563703,0.03420392110367882,0.014474833016187303,0.021383897973246826,0.01675087799921806,0.02276022515032843,0.018438270113272766,0.04363131171208058,0.011984535674943106
2021-04-01,0.020000840302200965,0.016180937020312994,0.03330273249078907,0.01401139735744469,0.022170665499190667,0.015946494698776882,0.022339698051010166,0.01870202466674097,0.04245753261565229,0.012470223779841978
2021-04-05,0.020233249728409744,0.016940275730034392,0.0321729760587259,0.013571257204477858,0.020701298554683775,0.01618601697670535,0.023066469084643312,0.02043121376163635,0.04223503951521611,0.012485272509185998
2021-04-06,0.02014095638040756,0.016602447371058975,0.03233380465963713,0.013687562912564075,0.018680647381484148,0.016192495420068554,0.023023324017725375,0.019576702614613643,0.041255872321485795,0.010628373622319685
2021-04-07,0.01749807422177446,0.015871988056974196,0.02716013519506345,0.013804543633363676,0.01875758920493164,0.015793870062251757,0.02115253965318545,0.01658417680603171,0.039445521474636,0.010533017980111985
2021-04-08,0.01591479414389133,0.015111634945326675,0.02232076671121027,0.013682541243725912,0.01862610737353435,0.014016094945772734,0.020063110521420662,0.01639045490693263,0.03395695389396332,0.01055027873839757
2021-04-09,0.01602570761283121,0.015004980700262169,0.022190923031452033,0.012970263073814457,0.016983375554014826,0.014509470501038969,0.020027739181461328,0.01634090638662628,0.03398192211981498,0.012081716437522413
2021-04-12,0.016271670005016687,0.014599991827300469,0.02338950144789335,0.012917458811185169,0.016977753850896806,0.014183217107682194,0.01927099699948552,0.015591157877731986,0.033381140139573946,0.012018583657207477
2021-04-13,0.016650155568437495,0.014495833833184434,0.02351556025140783,0.012946770909211034,0.01672795912058275,0.0139331771136659,0.018525763789332787,0.014259826381889293,0.03781016009474316,0.011969200829374272
2021-04-14,0.016766525096254946,0.014790690689016056,0.024417433223037348,0.01353578792304637,0.01753789255631825,0.014860100707500132,0.019340460382778066,0.01442279950053381,0.03884067229478947,0.011812051686782704
2021-04-15,0.01698345308106448,0.014884945637783352,0.026553503373138786,0.013380025069455634,0.017019801566363756,0.015018464080996736,0.019213906406158388,0.014632779317860136,0.0373689926704717,0.014028049204512819
2021-04-16,0.016891946092065867,0.014798399517439397,0.02701656427870664,0.013283848434564406,0.016979579088501836,0.014855842369426149,0.019120361974695584,0.01463811466009687,0.036643868852051426,0.0137947052057301
2021-04-19,0.014481815811761577,0.013258344347007126,0.025855782820261186,0.012743080368202589,0.014028236692904903,0.012280518757011898,0.018796415134131626,0.01240283145699868,0.033643497330195365,0.0128673509954482
2021-04-20,0.014878932250704215,0.013265170914390422,0.026274520865666878,0.013178885991179634,0.014725874280462462,0.012532879400493139,0.016829888820564364,0.012604020875638318,0.033643409569698766,0.013139075935119907
2021-04-21,0.013915635684642758,0.012587965895466076,0.02596667346392356,0.011944702720924344,0.01485791421334804,0.01244857973360531,0.01672341485147131,0.012644108107372539,0.034049509794095816,0.013144961677695705
2021-04-22,0.014139415525419235,0.013165236303533188,0.027278815389081647,0.012654300066021883,0.014888248871000808,0.013097886190166858,0.017004354043059458,0.013170490449878634,0.03489763216076822,0.013312455587811871
2021-04-23,0.013366294342720436,0.013058105460313722,0.026095465615310082,0.013238026639565664,0.014230835773557856,0.01244565155847618,0.015746594982143144,0.013450854210085302,0.03272204728123854,0.013368971100774537
2021-04-26,0.013373982656309407,0.012404669388275598,0.02579904706815478,0.01293594227328506,0.014232656498204387,0.012293827588442427,0.015364647611227984,0.01338832452938717,0.032679320032161195,0.013751655372967578
2021-04-27,0.013480067582046982,0.012118109821584226,0.025825978088040286,0.01240956754901645,0.013187417148523475,0.012286332231423242,0.015150956438050773,0.013585478957829767,0.03352547542065165,0.013566087931168863
2021-04-28,0.0136746335139611,0.01402673724344474,0.026045401388003663,0.012028139860330266,0.014744926956253828,0.01236074588749554,0.014279778799433653,0.014493975070197763,0.03360459384331447,0.013530531147844553
2021-04-29,0.01318294898497499,0.01367363017097651,0.025879851096932135,0.01249440860252797,0.014713128663095801,0.012050043669100133,0.019429577604136803,0.01450105993504965,0.03338447501395491,0.013382414029310037
