date,portfolio_value
2021-10-27,1415460.4230183787
2021-10-28,1434101.6369345633
2021-10-29,1449321.8655881004
2021-11-01,1458998.3373847906
2021-11-02,1460196.9165961668
2021-11-03,1473214.9846278059
2021-11-04,1506222.6536018308
2021-11-05,1510048.8130417075
2021-11-08,1512639.7858651422
2021-11-09,1494689.7608208456
2021-11-10,1472958.491028138
2021-11-11,1479332.9702354742
2021-11-12,1487355.4734880335
2021-11-15,1483188.9921279398
2021-11-16,1490390.1649355618
2021-11-17,1486850.8248874126
2021-11-18,1513805.0504156877
2021-11-19,1521108.75584087
2021-11-22,1511147.5462330116
2021-11-23,1510648.385686468
2021-11-24,1521720.48013541
2021-11-26,1477654.174705255
2021-11-29,1516669.6576406548
2021-11-30,1493882.4416491867
2021-12-01,1467993.7483116318
2021-12-02,1479725.5158594842
2021-12-03,1448824.6586108287
2021-12-06,1460215.6019732486
2021-12-07,1507595.9923176148
2021-12-08,1512506.6244317358
2021-12-09,1491452.9169563432
2021-12-10,1500303.5312987948
2021-12-13,1465960.1873226946
2021-12-14,1458338.018043772
2021-12-15,1494917.2067703262
2021-12-16,1456599.7899662976
2021-12-17,1440610.8430740219
2021-12-20,1422043.4836774927
2021-12-21,1457316.8138998034
2021-12-22,1480396.0962474877
2021-12-23,1494658.5839135456
2021-12-27,1523544.392367237
2021-12-28,1516777.0506736815
2021-12-29,1511555.3934867342
2021-12-30,1502412.8624156746
2021-12-31,1491841.895211619
2022-01-03,1531651.0001846803
2022-01-04,1518537.3468126608
2022-01-05,1472668.638000169
2022-01-06,1472397.2607201785
2022-01-07,1458361.301040504
2022-01-10,1464721.5583408051
2022-01-11,1486017.9166680134
2022-01-12,1498075.4451499104
2022-01-13,1456516.604890714
2022-01-14,1463672.7947760487
2022-01-18,1431353.8763245882
2022-01-19,1414209.70760497
2022-01-20,1398535.732274768
2022-01-21,1361697.6357563762
2022-01-24,1364896.8541288183
2022-01-25,1344893.9907969767
2022-01-26,1354223.4380185644
2022-01-27,1335577.5591508914
2022-01-28,1370475.2718207566
2022-01-31,1415468.721169132
2022-02-01,1433920.360012101
2022-02-02,1453049.589133135
2022-02-03,1387660.8805951811
2022-02-04,1414593.126963633
2022-02-07,1406639.1839150016
2022-02-08,1416070.7197492782
2022-02-09,1441545.091367552
2022-02-10,1411654.0393842205
2022-02-11,1374291.2373221118
2022-02-14,1375540.2720108852
2022-02-15,1408220.5550331862
2022-02-16,1410461.6756202101
2022-02-17,1364268.8147715107
2022-02-18,1345742.0086049822
2022-02-22,1328748.1825940572
2022-02-23,1296507.1167096903
2022-02-24,1327084.698842114
2022-02-25,1352843.9829353162
2022-02-28,1361014.8759160254
2022-03-01,1342167.1608006265
2022-03-02,1366409.3196056872
2022-03-03,1350306.2537955127
2022-03-04,1342426.9085565845
2022-03-07,1301560.9364014813
2022-03-08,1300702.5467462451
2022-03-09,1334290.4853974814
2022-03-10,1333356.5643728755
2022-03-11,1305453.1625846932
2022-03-14,1278165.8191323886
2022-03-15,1306005.0092817456
2022-03-16,1346595.3845401355
2022-03-17,1368234.536221647
2022-03-18,1398055.5433965817
2022-03-21,1410334.895886816
2022-03-22,1432899.33154805
2022-03-23,1422209.3118629754
2022-03-24,1459202.0238108938
2022-03-25,1462815.9505126742
2022-03-28,1477970.2860616632
2022-03-29,1489316.4948090704
2022-03-30,1482294.178377007
2022-03-31,1454794.4078618297
2022-04-01,1455491.610364175
2022-04-04,1484050.3375990614
2022-04-05,1454816.957843588
2022-04-06,1422889.3391092238
2022-04-07,1427355.137581456
2022-04-08,1414951.930989813
2022-04-11,1370104.2242978506
2022-04-12,1368340.9076725957
2022-04-13,1389656.2041159275
2022-04-14,1362895.9384507125
2022-04-18,1375267.0146880583
2022-04-19,1395422.9170261414
2022-04-20,1375504.490329125
2022-04-21,1349059.9484332746
2022-04-22,1313937.7603260684
2022-04-25,1319533.3865679095
2022-04-26,1267123.1312066866
2022-04-27,1267548.3208348416
2022-04-28,1317586.6541823682
2022-04-29,1264184.4012582637
2022-05-02,1288301.1511438065
2022-05-03,1296964.9788253563
2022-05-04,1343149.5021949739
2022-05-05,1279595.9588928744
2022-05-06,1277868.6415489481
2022-05-09,1210767.4653140926
2022-05-10,1223878.660619605
2022-05-11,1194060.8710034157
