date,garch_conditional_volatility
2021-01-04,0.013355951377730829
2021-01-05,0.012894759921671843
2021-01-06,0.012723545597043235
2021-01-07,0.012388273737150403
2021-01-08,0.014540091227416894
2021-01-11,0.014276782666916604
2021-01-12,0.014376997228051963
2021-01-13,0.013849663496946591
2021-01-14,0.0134076881016145
2021-01-15,0.013145607680092286
2021-01-19,0.013274108146741726
2021-01-20,0.013355605526911262
2021-01-21,0.014008185705578673
2021-01-22,0.013587434061116043
2021-01-25,0.013152239132735945
2021-01-26,0.012798486110909092
2021-01-27,0.012383602540857665
2021-01-28,0.013911143043469375
2021-01-29,0.013410079774880719
2021-02-01,0.01453831767736595
2021-02-02,0.015238499407323459
2021-02-03,0.01529967806457678
2021-02-04,0.014839315821596713
2021-02-05,0.014303111481900064
2021-02-08,0.01380313036539438
2021-02-09,0.01363576170237976
2021-02-10,0.01321881493492186
2021-02-11,0.01276605147004683
2021-02-12,0.012341214711400377
2021-02-16,0.011942108161073876
2021-02-17,0.011604344371677344
2021-02-18,0.011261957096464244
2021-02-19,0.011102672640901033
2021-02-22,0.01095449826597675
2021-02-23,0.011678328577116162
2021-02-24,0.011325494709956821
2021-02-25,0.011556456249928586
2021-02-26,0.015153489939632805
2021-03-01,0.014571379668846314
2021-03-02,0.01580796424474642
2021-03-03,0.015863917420006212
2021-03-04,0.016109040047806566
2021-03-05,0.01554780397020059
2021-03-08,0.01549229141442923
2021-03-09,0.016401512701253836
2021-03-10,0.01814072288917247
2021-03-11,0.01738028334741832
2021-03-12,0.017321128732631322
2021-03-15,0.016679336494487294
2021-03-16,0.016007405289682346
2021-03-17,0.015388127597081682
2021-03-18,0.014855122279639279
2021-03-19,0.016084522022354816
2021-03-22,0.015466823329001435
2021-03-23,0.0149579910045383
2021-03-24,0.014455347714487785
2021-03-25,0.014308589632357744
2021-03-26,0.013805301759103751
2021-03-29,0.013501346777330989
2021-03-30,0.013025532932560641
2021-03-31,0.012646366271870303
2021-04-01,0.012505097064090372
2021-04-05,0.012744266670015141
2021-04-06,0.013237090504222646
2021-04-07,0.012905363590914232
2021-04-08,0.012655054800479822
2021-04-09,0.01228596990647412
2021-04-12,0.012063727971359057
2021-04-13,0.011718705112997186
2021-04-14,0.011771316169165975
2021-04-15,0.011986036409137342
2021-04-16,0.01249669003539605
2021-04-19,0.012103534214407742
2021-04-20,0.01210945603809827
2021-04-21,0.011938944270239966
2021-04-22,0.011737925554679311
2021-04-23,0.012483289748640991
2021-04-26,0.012674593062147084
2021-04-27,0.01229555893120481
2021-04-28,0.011977089680203229
2021-04-29,0.011633637928375453
2021-04-30,0.011651549710622062
2021-05-03,0.011613417580967223
2021-05-04,0.011308848486046762
2021-05-05,0.011484941466103588
2021-05-06,0.011162846221823014
2021-05-07,0.011077866200384787
2021-05-10,0.010888233710022115
2021-05-11,0.012328735791217696
2021-05-12,0.012376145682378182
2021-05-13,0.013400427891341054
2021-05-14,0.012967472313671746
2021-05-17,0.013856827628471657
2021-05-18,0.01335745088626692
2021-05-19,0.013393699480596185
2021-05-20,0.01300743082508749
2021-05-21,0.012943921357298754
2021-05-24,0.012514555774361618
2021-05-25,0.01310074152611452
2021-05-26,0.012681548961216114
2021-05-27,0.012284992201491388
2021-05-28,0.011914045782447109
2021-06-01,0.011544588748116914
2021-06-02,0.011231327004516957
2021-06-03,0.010912895640344955
2021-06-04,0.010831981443711251
2021-06-07,0.011165501483083618
2021-06-08,0.010849461030876521
2021-06-09,0.01055660771630016
2021-06-10,0.010310121097302338
2021-06-11,0.010100821877462283
2021-06-14,0.009866343522363126
2021-06-15,0.00975660144810236
2021-06-16,0.009604122855235183
2021-06-17,0.009437041048974863
2021-06-18,0.009347269297447601
2021-06-21,0.009872514852957572
2021-06-22,0.009981606428771697
2021-06-23,0.010154812696582957
2021-06-24,0.009976408109128166
2021-06-25,0.009821700006662446
2021-06-28,0.009649085344982404
2021-06-29,0.00985043451802271
2021-06-30,0.009670062402115837
2021-07-01,0.009469819167987238
2021-07-02,0.00936768954566033
2021-07-06,0.009556778005587227
2021-07-07,0.009374117442159447
2021-07-08,0.009260670230916465
2021-07-09,0.00946605820186759
2021-07-12,0.009570043249347304
2021-07-13,0.009636372415871343
2021-07-14,0.009549133074717633
2021-07-15,0.009554344500879273
2021-07-16,0.00983458718829848
2021-07-19,0.010627748061471065
2021-07-20,0.01114572275473534
2021-07-21,0.01116407719323358
2021-07-22,0.011352071445355208
2021-07-23,0.011051684548589591
2021-07-26,0.011113192491745945
2021-07-27,0.010851100145098984
2021-07-28,0.011037617460358164
2021-07-29,0.010799935884059341
2021-07-30,0.010512453951142038
2021-08-02,0.01088917904713133
2021-08-03,0.010602025739331878
2021-08-04,0.010458536036097421
2021-08-05,0.010201480616015755
2021-08-06,0.010035492564617814
2021-08-09,0.009811042295853134
2021-08-10,0.009625104861880276
2021-08-11,0.009449307239249062
2021-08-12,0.009318881995797463
2021-08-13,0.009282619166994167
2021-08-16,0.009111298707020528
2021-08-17,0.008999979244270082
2021-08-18,0.009630725554471828
2021-08-19,0.009962636086960856
2021-08-20,0.00975085219022619
2021-08-23,0.010186909007282932
2021-08-24,0.011207456736696143
2021-08-25,0.010890078718193705
2021-08-26,0.010627695948597131
2021-08-27,0.010566180510373623
2021-08-30,0.010853458870905351
2021-08-31,0.010705508243445534
2021-09-01,0.010516025512290568
2021-09-02,0.010250717839167311
2021-09-03,0.010007351009708483
2021-09-07,0.009786056829684541
2021-09-08,0.0095943159125079
2021-09-09,0.009660390630392587
2021-09-10,0.009542432955475166
2021-09-13,0.00982465367932084
2021-09-14,0.00970926498940192
2021-09-15,0.009575865504959286
2021-09-16,0.0097281033781691
2021-09-17,0.00958085374666401
2021-09-20,0.010020104014200504
2021-09-21,0.012307703110643617
2021-09-22,0.011914855764968327
2021-09-23,0.011796000190086316
2021-09-24,0.0119058780263918
2021-09-27,0.011573361044135906
2021-09-28,0.011230515417357834
2021-09-29,0.012942201605236323
2021-09-30,0.012532439801340271
2021-10-01,0.012379615115495853
2021-10-04,0.012442505382371629
2021-10-05,0.013276490195342733
2021-10-06,0.013368285248480185
2021-10-07,0.012927948585891285
2021-10-08,0.012670894352224875
2021-10-11,0.01224949222120613
2021-10-12,0.012118246990641035
2021-10-13,0.011844734256817513
2021-10-14,0.011481567146863656
2021-10-15,0.012400191963814833
2021-10-18,0.01226748016551252
2021-10-19,0.01216186792364464
2021-10-20,0.011837644094801682
2021-10-21,0.011473680902541533
2021-10-22,0.011231514838783872
2021-10-25,0.011113093895921
2021-10-26,0.011525378567226597
2021-10-27,0.011574331710691426
2021-10-28,0.011254143368608506
2021-10-29,0.011395884747267118
2021-11-01,0.011345684461538115
2021-11-02,0.011109377611433695
2021-11-03,0.010798793747050596
2021-11-04,0.010707467628780887
2021-11-05,0.011910732867748589
2021-11-08,0.011545264559028288
2021-11-09,0.011202040076363629
2021-11-10,0.011484921009352922
2021-11-11,0.011984220867462578
2021-11-12,0.01163648300575427
2021-11-15,0.011338920654522917
2021-11-16,0.011072712702557823
2021-11-17,0.010803627381253213
2021-11-18,0.010567030924807375
2021-11-19,0.011269477508649782
2021-11-22,0.010984733150721088
2021-11-23,0.010907080628379015
2021-11-24,0.01062136559737888
2021-11-26,0.010470300801423646
2021-11-29,0.013199467364654027
2021-11-30,0.014471921081948747
2021-12-01,0.014652101001814138
2021-12-02,0.015019011700591858
2021-12-03,0.014555353558849451
2021-12-06,0.015300021286910902
2021-12-07,0.014812471938145683
2021-12-08,0.016605254622651076
2021-12-09,0.0159399860951571
2021-12-10,0.015882414679999863
2021-12-13,0.015303242781895803
2021-12-14,0.016165200881033463
2021-12-15,0.015627208756575008
2021-12-16,0.01635992706129696
2021-12-17,0.01738217019984141
2021-12-20,0.017010505136291026
2021-12-21,0.016784408751064447
2021-12-22,0.01733371189774788
2021-12-23,0.017080678839614883
2021-12-27,0.016532433973224535
2021-12-28,0.016607471024014418
2021-12-29,0.01601717656537724
2021-12-30,0.015439473813867097
2021-12-31,0.014981728428731083
