date,garch_scaled_return
2021-01-04,0.0
2021-01-05,0.011171189185120901
2021-01-06,-0.004113679502907068
2021-01-07,0.03358600267825514
2021-01-08,0.010680232252790975
2021-01-11,-0.012819673700442262
2021-01-12,0.0027907993153510925
2021-01-13,0.005736427275947867
2021-01-14,-0.006937223301049836
2021-01-15,-0.012770445936194592
2021-01-19,0.015156062445191531
2021-01-20,0.02125894591627055
2021-01-21,0.0067430216303234584
2021-01-22,-0.0025320680891765444
2021-01-25,0.007335670468337739
2021-01-26,-0.0008026670176173472
2021-01-27,-0.02593281434562872
2021-01-28,0.00044031736518364414
2021-01-29,-0.02236951940030209
2021-02-01,0.02132865984657292
2021-02-02,0.01522533455678018
2021-02-03,0.007491828941106225
2021-02-04,0.004174811411771373
2021-02-05,0.004385986128213752
2021-02-08,0.011810543198950588
2021-02-09,-0.0033398985324521848
2021-02-10,8.68967970254202e-05
2021-02-11,0.00045813545548352793
2021-02-12,0.0015481951180412105
2021-02-16,0.00519327758103161
2021-02-17,0.0002486233399781339
2021-02-18,-0.006403369284821379
2021-02-19,-0.006428569781899239
2021-02-22,-0.01926490513729179
2021-02-23,0.0018013490946418187
2021-02-24,0.016819820234708162
2021-02-25,-0.04082088479754472
2021-02-26,0.0007089023025842023
2021-03-01,0.025452706146853365
2021-03-02,-0.012775024603503882
2021-03-03,-0.014659275120095664
2021-03-04,-0.0035429322929236046
2021-03-05,0.013957496119730552
2021-03-08,-0.02014926443719691
2021-03-09,0.0276765311169035
2021-03-10,0.0021234200253375875
2021-03-11,0.014253833255729898
2021-03-12,-0.003252386352595218
2021-03-15,0.0023726291973125892
2021-03-16,-0.0009635141299899504
2021-03-17,0.005607952387627617
2021-03-18,-0.022634293914324453
2021-03-19,0.003754441954445547
2021-03-22,0.006473619682515373
2021-03-23,-0.0032204317945262297
2021-03-24,-0.009745669964405406
2021-03-25,-0.0015091327082902262
2021-03-26,0.009349898080812505
2021-03-29,0.0020961227031898884
2021-03-30,-0.0032928203993895576
2021-03-31,0.011541155612144593
2021-04-01,0.01703248843853859
2021-04-05,0.019853336520090126
2021-04-06,-0.00512819067143038
2021-04-07,0.009603270813050223
2021-04-08,0.005814191481256291
2021-04-09,0.009568696382650146
2021-04-12,0.005222021986777941
2021-04-13,0.01429785495903524
2021-04-14,-0.0133513884562647
2021-04-15,0.02019376722514886
2021-04-16,-0.0008874633692603427
2021-04-19,-0.01050805436828678
2021-04-20,-0.007318939546227699
2021-04-21,0.009667404894766996
2021-04-22,-0.01939908561860966
2021-04-23,0.016434503654574953
2021-04-26,0.005433232295763805
2021-04-27,-0.003748973908678987
2021-04-28,0.005007118466726402
2021-04-29,0.013698970357893893
2021-04-30,-0.009403335857760188
2021-05-03,-0.002446666037569338
2021-05-04,-0.01259796380034814
2021-05-05,0.004279969373695243
2021-05-06,0.011455845898067933
2021-05-07,0.008771236890408514
2021-05-10,-0.026132341246725765
2021-05-11,-0.01128593603596011
2021-05-12,-0.021847075495831706
2021-05-13,0.004994909546262562
2021-05-14,0.023519450722525388
2021-05-17,0.0008338268416830479
2021-05-18,-0.011671564106711298
2021-05-19,-0.0038491717621056305
2021-05-20,0.013040589178357473
2021-05-21,-0.0004218530569800258
2021-05-24,0.020857164110315917
2021-05-25,-0.0017933280491476706
2021-05-26,0.004556681481627489
2021-05-27,-0.001399375055418108
2021-05-28,0.0017162248263714974
2021-06-01,0.005115901828390986
2021-06-02,0.002726984715459038
2021-06-03,-0.007737711980947993
2021-06-04,0.01818311230276887
2021-06-07,0.001927793433989168
2021-06-08,0.002027885058103953
2021-06-09,-0.0014124970000363333
2021-06-10,0.0062494088639798795
2021-06-11,0.0009807831577131952
2021-06-14,0.009056816617766923
2021-06-15,-0.003170337580975627
2021-06-16,-0.0017695476057829527
2021-06-17,0.00882090097214982
2021-06-18,-0.016766678829994545
2021-06-21,0.014352559500744086
2021-06-22,0.015578922568447782
2021-06-23,0.00719444797350111
2021-06-24,0.007687412359617552
2021-06-25,-0.0024361754464227474
2021-06-28,0.015931657525321115
2021-06-29,-0.0021364384626674344
2021-06-30,0.0009366245420877665
2021-07-01,0.008442590025242003
2021-07-02,0.015576722465547133
2021-07-06,-0.0002526146937985345
2021-07-07,-0.003574493369162839
2021-07-08,-0.01162599132109414
2021-07-09,0.01396303272840186
2021-07-12,0.01324924735963343
2021-07-13,-0.005298386281035473
2021-07-14,-0.007733385909068389
2021-07-15,-0.013171980161613405
2021-07-16,-0.020166201298277644
2021-07-19,-0.016907110078483122
2021-07-20,0.013446099724721968
2021-07-21,0.01617982418749
2021-07-22,0.0051223539997711995
2021-07-23,0.014147949473906678
2021-07-26,0.006272021357277788
2021-07-27,-0.012498947034930466
2021-07-28,0.007088183476625903
2021-07-29,0.0026788969514552814
2021-07-30,-0.015067420864328131
2021-08-02,0.003693276175993312
2021-08-03,0.009337112011815396
2021-08-04,0.00015208211742623556
2021-08-05,0.007813781381839333
2021-08-06,0.00016429772820426505
2021-08-09,-0.001615736261000842
2021-08-10,-0.0013005499966550237
2021-08-11,-0.0030766552241498317
2021-08-12,0.010336730157925782
2021-08-13,0.001865361509876828
2021-08-16,-0.002670370335549174
2021-08-17,-0.01815116383161514
2021-08-18,-0.014043518187319286
2021-08-19,0.0044748864261787815
2021-08-20,0.01962502875119402
2021-08-23,0.026363685733551773
2021-08-24,0.002584532474456527
2021-08-25,0.005522402229461557
2021-08-26,-0.007784621287298797
2021-08-27,0.01752295688927761
2021-08-30,0.009597007406155354
2021-08-31,-0.004458385241037229
2021-09-01,0.0007481650277996317
2021-09-02,0.0004675175489062844
2021-09-03,0.0038400565216009084
2021-09-07,0.005047758050886051
2021-09-08,-0.009210921212038307
2021-09-09,-0.004287095414919117
2021-09-10,-0.013196541085643585
2021-09-13,0.008781212736903354
2021-09-14,-0.003830164965894813
2021-09-15,0.01499647431002445
2021-09-16,-0.003305907094946649
2021-09-17,-0.015622175041420735
2021-09-20,-0.03392862117000389
2021-09-21,0.0027823320497763395
2021-09-22,0.011414922435869009
2021-09-23,0.015193938512798818
2021-09-24,0.005345027140240139
2021-09-27,0.000676929605994017
2021-09-28,-0.028142250400692258
2021-09-29,-0.0017328763343676514
2021-09-30,-0.008140340251369933
2021-10-01,0.014682386427452685
2021-10-04,-0.020133694371200314
2021-10-05,0.015288296598283155
2021-10-06,0.004519707073550043
2021-10-07,0.009478673367706124
2021-10-08,0.001813975294483204
2021-10-11,-0.008262474507430633
2021-10-12,-0.004804456262608963
2021-10-13,0.0023838374642066113
2021-10-14,0.024529112037621172
2021-10-15,0.011522967507577551
2021-10-18,0.011927412637818937
2021-10-19,0.0064128409193365465
2021-10-20,0.001884710260814664
2021-10-21,0.007854272047648539
2021-10-22,-0.007328135590215616
2021-10-25,0.01918990762423563
2021-10-26,0.014158514788497225
2021-10-27,0.004821216567871307
2021-10-28,0.0155136664543935
2021-10-29,0.012346493464266866
2021-11-01,0.007801388818180408
2021-11-02,0.000980330803032546
2021-11-03,0.010944862179724315
2021-11-04,0.027740379068740023
2021-11-05,0.002827390782299542
2021-11-08,0.001970236752354752
2021-11-09,-0.014043742293993876
2021-11-10,-0.016782492639319177
2021-11-11,0.0047873461454463265
2021-11-12,0.006178352166481515
2021-11-15,-0.0032751665120562797
2021-11-16,0.005813037725321769
2021-11-17,-0.0029140912787755345
2021-11-18,0.022743479889535043
2021-11-19,0.005675706792413197
2021-11-22,-0.007903377662831584
2021-11-23,-0.0004014905166183513
2021-11-24,0.009148217190809112
2021-11-26,-0.03666595742044108
2021-11-29,0.02651906508217673
2021-11-30,-0.013763361556301831
2021-12-01,-0.015679934291746796
2021-12-02,0.007054208979973735
2021-12-03,-0.019020285856620668
2021-12-06,0.006812433286490894
2021-12-07,0.02904053033423781
2021-12-08,0.0026005027645104708
2021-12-09,-0.011576940323950584
2021-12-10,0.004953335813231312
2021-12-13,-0.019830351566615008
2021-12-14,-0.004264083905105979
2021-12-15,0.02127869019561133
2021-12-16,-0.020770557479878098
2021-12-17,-0.00837193895093096
2021-12-20,-0.010044693467592562
2021-12-21,0.019591963997046432
2021-12-22,0.012112315772915525
2021-12-23,0.00747760736693263
2021-12-27,0.015497304389887267
2021-12-28,-0.0035457647864281564
2021-12-29,-0.0028493846330623954
2021-12-30,-0.005193502156416023
2021-12-31,-0.006226069235401547
2022-01-03,0.024233557264271035
2022-01-04,-0.007243655764727945
2022-01-05,-0.026164417929151935
2022-01-06,-0.00014287035630298898
2022-01-07,-0.007704609251262865
2022-01-10,0.00360672799862327
2022-01-11,0.012505586858865015
2022-01-12,0.007056356716550628
2022-01-13,-0.024901841158032584
2022-01-14,0.003989944535707115
2022-01-18,-0.018647720267197732
2022-01-19,-0.0096743915043464
2022-01-20,-0.009080731469307294
2022-01-21,-0.021944572616007553
2022-01-24,0.0018224732841260758
2022-01-25,-0.011853993958198639
2022-01-26,0.005626900293646411
2022-01-27,-0.011583012443480215
2022-01-28,0.022053266909719274
2022-01-31,0.026306421388383443
2022-02-01,0.009564104477848754
2022-02-02,0.010049410260001808
2022-02-03,-0.03472664086632438
2022-02-04,0.012339843071170557
2022-02-07,-0.0036307181100678244
2022-02-08,0.004506767223104915
2022-02-09,0.012604520668614023
2022-02-10,-0.01472229782728907
2022-02-11,-0.018574521973720292
2022-02-14,0.0006132659028721656
2022-02-15,0.016758348519506177
2022-02-16,0.0011099831099501574
2022-02-17,-0.023866527186273866
2022-02-18,-0.009090530423142718
2022-02-22,-0.008634121141126324
2022-02-23,-0.016973052729851723
2022-02-24,0.016057185768602364
2022-02-25,0.013130529229111268
2022-02-28,0.0041302302678329515
2022-03-01,-0.009875123179612573
2022-03-02,0.013090793524223883
2022-03-03,-0.008630410404058878
2022-03-04,-0.004365776831196627
2022-03-07,-0.02360371718099718
2022-03-08,-0.0004701238530496926
2022-03-09,0.019215914003582454
2022-03-10,-0.0005060121574786267
2022-03-11,-0.01578900548878118
2022-03-14,-0.015453289053496315
2022-03-15,0.015823038230895373
2022-03-16,0.02245502458397754
2022-03-17,0.010998981391525829
2022-03-18,0.015237820513342212
2022-03-21,0.00613126452846161
2022-03-22,0.011598530706129503
2022-03-23,-0.005505587953598142
2022-03-24,0.01983576421924082
2022-03-25,0.001826056264567137
2022-03-28,0.00797227487587451
2022-03-29,0.006095337511612616
2022-03-30,-0.003880299026642621
2022-03-31,-0.015806449450578002
2022-04-01,0.00039874237847584577
2022-04-04,0.016996754750522154
2022-04-05,-0.016808585440053946
2022-04-06,-0.018155926543849045
2022-04-07,0.0024943027484957045
2022-04-08,-0.007195328767557079
2022-04-11,-0.026891000305271275
2022-04-12,-0.0009711838714751169
2022-04-13,0.012252856175048498
2022-04-14,-0.015354962062660635
2022-04-18,0.0071036002197602845
2022-04-19,0.011860889002892429
2022-04-20,-0.011727909958648856
2022-04-21,-0.01584521205892892
2022-04-22,-0.02096867327451496
2022-04-25,0.003223458273678109
2022-04-26,-0.03133428208424108
2022-04-27,0.00022576873117557668
2022-04-28,0.027763749916161696
2022-04-29,-0.02576486525510075
2022-05-02,0.010977283232549637
2022-05-03,0.003958861182581118
2022-05-04,0.02190458858427086
2022-05-05,-0.02771792808939968
2022-05-06,-0.0007035309785668649
2022-05-09,-0.02868277914437729
2022-05-10,0.005218736389151969
2022-05-11,-0.012261313141259729
2022-05-12,-0.0042346129200464865
2022-05-13,0.019409090916013547
2022-05-16,-0.0031327768648821528
2022-05-17,0.013588288808359793
2022-05-18,-0.02379141670745206
2022-05-19,-0.0007799696706597746
2022-05-20,-0.003144739195068314
2022-05-23,0.01308214831497019
2022-05-24,-0.011200798225402675
2022-05-25,0.009584682348225172
2022-05-26,0.014065615336345405
2022-05-27,0.01741676951808028
2022-05-31,-0.0020665428852931654
2022-06-01,-0.0019440256768105575
2022-06-02,0.01446104667641175
2022-06-03,-0.015306060329184969
2022-06-06,0.0038614620535740267
2022-06-07,0.009704108282188085
2022-06-08,-0.0014015981562018947
2022-06-09,-0.017412751153534016
